Nombre de la ruta,longitud en km,dificultad,localización,altitud,dificultad
Camino del Sol,12.5,Media,Sierra Nevada,1500,Media
Senda del Bosque,8.7,Fácil,Parque Natural de la Sierra,900,Fácil
Ruta de la Cima,15.3,Difícil,Montañas del Norte,1800,Difícil
Sendero de los Riscos,9.8,Media,Cordillera Central,1300,Media
Camino de la Luna,14.1,Difícil,Reserva Natural,2100,Difícil
Ruta del Río,10.0,Fácil,Área Protegida,1100,Fácil
Senda del Alba,7.5,Fácil,Parque Nacional,800,Fácil
Caminata del Mirador,13.2,Media,Sierra del Sol,1400,Media
Ruta del Encinar,11.0,Difícil,Bosque Encantado,1600,Difícil
Sendero de la Estrella,9.3,Fácil,Valle de las Estrellas,950,Fácil
Camino del Valle,16.7,Media,Valle Central,1200,Media
Ruta del Pinar,12.0,Difícil,Montañas Verdes,1700,Difícil
Senda del Crepúsculo,8.5,Fácil,Risco del Crepúsculo,1000,Fácil
Camino del Horizonte,10.5,Media,Laderas del Horizonte,1150,Media
Ruta de las Rocas,14.8,Difícil,Cañón de las Rocas,1900,Difícil
Sendero del Monte,6.9,Fácil,Monte Alegre,850,Fácil
Camino del Silencio,11.5,Media,Valle del Silencio,1250,Media
Ruta del Cielo,17.0,Difícil,Altos del Cielo,2200,Difícil
